Villain,Year first,Year last,Doc. no.,Doctor actor,Epi- sodes,"Stories, total","Motivation (invasion earth, end of universe, etc)",Story titles
Family of Blood,2007,2007,10,David Tennant,2,1,Kill/take control of humans and the Doctor,Human Nature/The Family of Blood
Father Angelo,2006,2006,10,David Tennant,1,1,Kill humans,Tooth and Claw
"Federico, Count",1976,1976,4,Tom Baker,4,1,Power/ serve big bad,The Masque of Mandragora
Fendahl (inc Fendahleen),1977,1977,4,Tom Baker,4,1,Devour life,Image of the Fendahl
Fenric,1989,1989,7,Sylvester McCoy,4,1,Control Humans,The Curse of Fenric
"Finch, Mr (Lassar)",2006,2006,10,David Tennant,1,1,Kill humans,School Reunion
Flood (the),2009,2009,10,David Tennant,1,1,Viral infection, The Waters of Mars
Foamasi,1980,1980,4,Tom Baker,4,1,Kill humans,The Leisure Hive
Forester,1964,1964,1,William Hartnell,3,1,Money,Planet of Giants
Fortune Teller,2008,2008,10,David Tennant ,1,1,Manipulating the past,Turn Left
Francesco,2010,2010,11,Matt Smith,1,1,Serve big bad,The Vampires of Venice
Frankenstein's monster robot,1965,1965,1,William Hartnell,6,1,Serve big bad,The Chase
Futurekind,2007,2007,10,David Tennant,1,1,Kill humans,Utopia
Gastropods,1984,1984,6,Colin Baker,4,1,Serve big bad, The Twin Dilemma
Gantok,2011,2011,11,Matt Smith,1,1,Serve big bad,The Wedding of River Song
Gavrok,1989,1989,7,Sylvester McCoy,4,1,Kill another alien species,The Greatest Show in the Galaxy
Gell guards ,1972,1973,"1,2,3","William Hartnell, Patrick Troughton, Jon Pertwee",4,1,Serve big bad,The Three Doctors
Gelth (the)/Gelth Ambassador,2005,2005,9,Christopher Eccleston,1,1,World domination,The Unquiet Dead
"Glitz, Sabalom",1986,1987,"6,7","Colin Baker, Sylvester McCoy",9,3,Self-interest,"The Mysterious Planet, The Ultimate Foe, Dragonfire"
Gods of Ragnarok,1989,1989,7,Sylvester McCoy,4,1,Kill alien species/enslavement,The Greatest Show in the Galaxy
"Golightly, Arnold",2008,2008,10,David Tennant ,1,1,Kill humans,The Unicorn and the Wasp
Goth (Gothaparduskerialldrapolatkh),1969,1976,"2,4","Patrick Troughton, Tom Baker",14,2,"Serve big bad, power","The War Lords, The Deadly Assassin"
Gravis,1984,1984,5,Peter Davison,4,1,Kill Humans,Frontios
"Gray, Steve",2008,2008,10,David Tennant,2,1,"Serve big bad, fight",The Sontaran Stratagem/The Poison Sky
Grayle,2012,2012,11,Matt Smith,1,1,Collect Weeping Angels,The Angels Take Manhattan
"Great Intelligence, the (Yog-Sothoth)",1967,2012,"2,11","Patrick Troughton, Matt Smith",13,3,World domination,"The Abominable Snowmen/The Web of Fear, The Snowmen"
Great One (Giant Spiders of Metebelis III),1974,1974,3,Jon Pertwee,6,1,Universe domination,Planet of the Spiders
Great Vampire,1980,1980,4,Tom Baker,4,1,Absorb planets,State of Decay
"Greel, Magnus",1977,1977,4,Tom Baker,6,1,Immortality/return to his time,The Talons of Weng-Chiang
"Green, Joseph",2005,2005,9,Christopher Eccleston,2,1,Cause World War Three,Aliens of London/World War Three
"Grendel, Count",1978,1978,4,Tom Baker,4,1,To posess a key,The Androids of Tara
Grey Lady robot,1965,1965,1,William Hartnell,6,1,Serve big bad,The Chase
"Grey, Solicitor",1966,1967,2,Patrick Troughton,4,1,Serve big bad,The Highlanders
"Grover, Charles",1974,1974,3,Jon Pertwee,6,1,Power,Invasion of the Dinosaurs
Grugger,1980,1980,4,Tom Baker,4,1,Serve big bad,Meglos
Gubbage Cone ,1965,1965,1,William Hartnell,6,1,Attack the Doctor,The Chase
"Gurney, Constantine Ethelred",2007,2007,10,David Tennant,13,1,"Larceny, blackmail and fraud",The Infinite Quest 
Haemovores (inc Ancient One),1989,1989,7,Sylvester McCoy,4,1,Serve big bad,The Curse of Fenric
"Halpen, Klineman",2008,2008,10,David Tennant,1,1,Kill an alien species,Planet of the Ood
Handbots,2011,2011,11,Matt Smith,1,1,Kill with kindness,The girl who waited
Happiness Patrol (the),1988,1988,7,Sylvester McCoy,3,1,Serve big bad,The Happiness Patrol
Hardaker,2007,2007,10,David Tennant,1,1,"Serve big bad, make money for family",Voyage of the Damned
"Harris, Private Carl",2008,2008,10,David Tennant,2,1,"Serve big bad, fight",The Sontaran Stratagem/The Poison Sky
"Hartigan, Mercy",2008,2008,10,David Tennant,1,1,Human dictatorship/enslavement,The Next Doctor
"Hartman, Yvonne",2006,2006,10,David Tennant,2,1,Assist Cybermen,Army of Ghosts/Doomsday
Hath,2008,2008,10,David Tennant,1,1,War,The Doctor's Daughter
Hawthorne,2010,2010,11,Matt Smith,1,1,Power,The Beast Below
Heavenly Host ,2007,2007,10,David Tennant,1,1,Serve big bad,Voyage of the Damned
Headless Monks,2011,2011,11,Matt Smith,1,1,Serve big bad,A Good Man Goes to War
"Hedin, Councillor",1983,1983,5,Peter Davison,4,1,Viral infection,Arc of Infinity
Helen A,1988,1988,7,Sylvester McCoy,3,1,Human dictatorship/enslavement,The Happiness Patrol
Hepesh,1972,1972,3,Jon Pertwee,4,1,Universal control,The Curse of Peladon
Hieronymous,1976,1976,4,Tom Baker,4,1,Power/ serve big bad,The Masque of Mandragora
Hindle,1982,1982,5,Peter Davison,4,1,Serve big bad,Kinda
Hoix,2006,2010,"10,11","David Tennant, Matt Smith",2,2,Consume everything/Imprison the Doctor,"Love and Monsters (cameo), The Pandorica Opens (see Alliance above)"
Horda,1977,1977,4,Tom Baker,4,1,Kill everything,The Face of Evil
Host (the),2006,2006,10,David Tennant,1,1,Kill everything,Tooth and Claw
House,2011,2011,11,Matt Smith,1,1,"Absorb planets, TARDIS'",The Doctor's Wife
"Hutchinson, Sir George",1984,1984,5,Peter Davison,2,1,Power,The Awakening
Ice Warriors (inc benevolent appearences),1967,1974,"2,3","Patrick Troughton, Jon Pertwee",24,6,Absorb planets,"The Ice Warriors, The Seeds of Death, The Curse of Peladon, The Monster of Peladon,The War Games, The Mind of Evil"
Icthar,1984,1984,5,Peter Davison,4,1,Power,Warriors of the Deep
Ingiger,1989,1989,7,Sylvester McCoy,4,1,Control alien species,The Curse of Fenric
Irongron,1973,1974,3,Jon Pertwee,4,1,"Crime, serve big bad", The Time Warrior
Isolus flowers (Scribble Monster),2006,2006,10,David Tennant,1,1,Self interest,Fear Her
Jackson (Mrs),2006,2006,10,David Tennant,1,1,Dominate the universe,School Reunion
Jagrafess,2005,2005,9,Christopher Eccleston,1,1,Control Humans,The Long Game
"James, Tennant",2005,2005,9,Christopher Eccleston,1,1,Power,World War Three 
"Jek, Sharaz",1984,1984,"5,6","Peter Davison, Colin Baker",4,1,Hates Morgus,The Caves of Androzani
Jek's androids,1984,1984,"5,6","Peter Davison, Colin Baker",4,1,Serve big bad,The Caves of Androzani
Judoon,2007,2010,"10,11","David Tennant, Matt Smith",3,3,Obey bureaucracy,"Smith & Jones, The Stolen Earth, The Pandorica Opens (see Alliance above)"
"Justice Department, The",2011,2011,11,Matt Smith,1,1,Kill the Doctor,Let's Kill Hitler
K1 Robot (Giant Robot),1974,1975,4,Tom Baker,4,1,Mindless destruction,Robot
Kaftan,1967,1967,2,Patrick Troughton,4,1,Power,Tomb of the Cybermen
Kal,1963,1963,1,William Hartnell,4,1,Power,An Unearthy Child
Kala,1964,1964,1,William Hartnell,6,1,Save alien planet ,The Keys of Marinus
Kalik,1973,1973,3,Jon Pertwee,4,1,Power,Carnival of Monsters
Kaliko (swabb),2007,2007,10,David Tennant,2,1,"Steal oil, make money",The Infinite Quest 
Kamelion (inc benevolent appearences),1983,1984,5,Peter Davison,6,2,Serve big bad,"The King's Demons, Planet of Fire"
Kandyman,1988,1988,7,Sylvester McCoy,3,1,Dictatorship/enslavement,The Happiness Patrol
Kane,1987,1987,7,Sylvester McCoy,3,1,Kill another alien species,Dragon Fire
Karfelon androids,1985,1985,6,Colin Baker,2,1,Serve big bad,Timelash
Keller Machine,1971,1971,3,Jon Pertwee,6,1,Control Humans,The mind of Evil
Kellman,1975,1975,4,Tom Baker,4,1,Serve big bad,Revenge of the Cybermen
Kess,2008,2008,10,David Tennant,1,1,Power,Planet of the Ood
"Kiv, Lord",1986,1986,6,Colin Baker,4,1,Make money,Mindwarp
"Klieg, Eric",1967,1967,2,Patrick Troughton,4,1,Power,Tomb of the Cybermen
"Kovarian, Madame",2011,2011,11,Matt Smith,5,4,Kill Doctor and companions,"Day of the Moon, The Curse of the Black Spot, The Rebel Flesh/The Almost People, A Good Man Goes to War, The Wedding of River Song"
Kraal ,1975,1975,4,Tom Baker,4,1,Kill humans,The Android Invasion
Kraal androids,1975,1975,4,Tom Baker,4,1,Serve big bad,The Android Invasion
Krafayis,2010,2010,11,Matt Smith,1,1,Hunt  ,Vincent and the Doctor
Krillitane,2008,2008,10,David Tennant,1,1,Self interest,School Reunion
Kroagnon,1987,1987,7,Sylvester McCoy,4,1,Kill humans,Paradise Towers
Kroll,1978,1979,4,Tom Baker,4,1,Indiscriminate destruction,The Power of Kroll
Kronos,1972,1972,3,Jon Pertwee,6,1,Serve big bad,The Time Monster
Krotons,1969,1969,2,Patrick Troughton,4,1,Enslavement,The Krotons
Krynoids,1976,1976,4,Tom Baker,6,1,World domination,Seeds of Doom
L1 robot,1986,1986,6,Colin Baker ,4,1,Capture the Doctor,The Mysterious Planet
"Lazarus, Professor Richard",2007,2007,10,David Tennant,1,1,Kill humans,The Lazarus Experiment
"Lethbridge-Stewart, Brigade Leader (alt universe)",1970,1970,3,Jon Pertwee,7,1,Fascist stooge,Inferno
Light,1989,1989,7,Sylvester McCoy,3,1,Destroy all life,Ghost Light
Lilith,2007,2007,10,David Tennant,1,1,Control Humans,The Shakespeare Code
Loch Ness Monster (Skarasen),1975,1975,4,Tom Baker,4,1,Serve big bad,Terror of the Zygons
Lok,2007,2007,10,David Tennant,13,1,Kill humans,The Infinite Quest 
"Lumic, John",2006,2006,10,David Tennant,2,1,"Immortality, medical experiments, kill humans",Rise of the Cybermen/The Age of Steel
Lupine Wavelength Haemovariform (werewolf),2006,2006,10,David Tennant,1,1,Kill everything,Tooth and Claw
Lupton,1974,1974,3,Jon Pertwee,6,1,Serve big bad,Planet of the Spiders
"Lytton, Commander Gustav",1983,1985,"5,6","Peter Davison, Colin Baker",4,2,Serve big bad,"Resurrection of the Daleks, Attack of the Cybermen"
Maaga,1965,1965,1,William Hartnell ,4,1,escape doomed planet,Galaxy 4
MacMillan (DI),2009,2009,10,David Tennant,1,1,Career,Planet of the Dead
Macra (the),1967,2007,"2,10","Patrick Troughton, David Tennant",5,2,Kill everything,"The Macra Terror, Gridlock"
Maggot/Giant Maggot,1973,1973,3,Jon Pertwee,6,1,Kill humans,The Green Death
Magpie (Mr),2006,2006,10,David Tennant ,1,1,Career,The Idiot's Lantern
"Mailer, Harry ",1971,1971,3,Jon Pertwee,6,1,Power,The mind of Evil
Malus,1984,1984,5,Peter Davison,2,1,Kill other alien species,The Awakening
Mandragora Helix,1976,1976,4,Tom Baker,4,1,World domination,The Masque of Mandragora
Mandrels,1979,1979,4,Tom Baker,4,1,Kill everything,Nightmare of Eden
Mansell,1983,1983,5,Peter Davison,4,1,Competing for enlightment,Enlightenment
Mantasphid Queen,2007,2007,10,David Tennant,13,1,Power,The Infinite Quest 
"Manton, Colonel",2011,2011,11,Matt Smith,1,1,Kill Doctor and companions,A Good Man Goes to War
"Mara (the), (Dukkha)",1982,1983,5,Peter Davison,8,2,Feeds off fear,"Kinda, Snakedance"
Marshal of Atrios,1979,1979,4,Tom Baker ,6,1,Power,The Armageddon Factor
Marshal of Solos (the) ,1972,1972,3,Jon Pertwee,6,1,Career,The Mutants
Marshmen,1980,1980,4,Tom Baker,4,1,Defeat the Doctor,Full Circle
Martha Jones- Clone,2008,2008,10,David Tennant,2,1,Serve big bad,The Sontaran Stratagem/The Poison Sky
Master (the),1971,2009,"3,4,5,6,7,8,10","Patrick Troughton, Jon Pertwee, Tom Baker, Peter Davison, Colin Baker, Sylvester McCoy, Paul McGann, David Tennant",84,22,Universal control,"Terror of the Autons,The Mind of Evil,The Claws of Axos,Colony in Space,The Dæmons,The Sea Devils,The Time Monster,Frontier in Space,The Deadly Assassin,The Keeper of Traken,Logopolis,Castrovalva,Time-Flight,The King's Demons,The Five Doctors,Planet of Fire,The Mark of the Rani,The Ultimate Foe,Survival,Doctor Who,Utopia/The Sound of Drums/Last of the Time Lords,The End of Time,The Caves of Androzani"
Master of the Land of Fiction,1968,1968,2,Patrick Troughton,5,1,Trick the Doctor,The Mind Robber
Mavic Chen,1965,1966,1,William Hartnell,12,1,Kill humans,The Daleks' Master Plan
Mawdryn,1983,1983,5,Peter Davison,4,1,Kill humans,Mawdryn Undead
"Maxtible, Theodore",1967,1967,2,Patrick Troughton,7,1,Serve big bad,Evil of the Daleks
"McAllister, Ewan",2005,2005,9,Christopher Eccleston,1,1,Serve big bad,World War Three 
Meddling Monk (the),1965,1966,1,William Hartnell,8,2,Interfere with history,"The Time Meddler, The Daleks' Master Plan"
Meglos,1980,1980,4,Tom Baker,4,1,Kill the Doctor,Meglos
Mehendri Solon,1976,1976,4,Tom Baker,4,1,Kill the Doctor,The Brain of Morbius
Mestor,1984,1984,6,Colin Baker,4,1,Dominate the universe,The Twin Dilema
Metal Spiders,2005,2005,9,Christopher Eccleston,1,1,Serve big bad,The End of the World
Midnight Entity,2008,2008,10,David Tennant,1,1,Survival,Midnight
"Millington, Commander AH",1989,1989,7,Sylvester McCoy,4,1,Serve big bad,The Curse of Fenric
Minister (of Enlightment/Persuasion),1982,1982,5,Peter Davison,4,1,Serve big bad,Four to Doomsday
"Minotaur, The",2011,2011,11,Matt Smith,1,1,Feed on beliefs,The God complex
Monarch,1982,1982,5,Peter Davison,4,1,"Power, money",Four to Doomsday
Monarch's androids,1982,1982,5,Peter Davison,4,1,Serve big bad,Four to Doomsday
Mongol Bandit ,1964,1964,1,William Hartnell ,7,1,Serve big bad ,Marco Polo
